ID	AVVIG97	AVGROW97	FLEAR	FRDA1	FREAR	AVCFWHA	AVNCFWH	AVYTFNW
SYNAGAD_178	0.770389693	1.69E-08	-2.289536668	5.432207209	6.741971134	-0.116577267	-0.130187831	-0.10195357
SYNAGAD_179	0.208089139	-1.18E-08	4.30060415	8.674834049	4.499857534	0.814394585	0.683429645	0.77077869
SYNAGAD_180	0.832867532	2.64E-08	1.765934605	7.745217065	5.35200163	0.035683174	-0.010918362	0.041721281
SYNAGAD_181	0.770389693	-5.10E-09	-2.796470577	-1.81196188	0.39952587	0.571452887	0.781647663	0.605400749
SYNAGAD_182	2.082424317	-7.39E-08	-1.782602759	3.419938017	4.503461041	0.446726794	0.391891282	0.459165319
SYNAGAD_183	2.805278198	-1.25E-07	3.793670241	7.745217065	4.073785487	0.972701763	0.886310554	0.904920565
SYNAGAD_184	-1.039197339	3.31E-08	-0.768734941	-2.214415718	-1.465899208	-0.028036923	-0.238335614	-0.041204165
SYNAGAD_185	1.332690245	-8.72E-08	2.779802423	0.60276115	-1.465899208	0.43549602	0.320607455	0.32577793
SYNAGAD_186	1.207734569	-7.86E-08	-3.303404486	-1.409508042	1.145695901	-0.158355855	-0.166021041	-0.134460816
SYNAGAD_187	-0.729078449	1.21E-08	-1.27566885	-0.202146527	0.772610886	-0.048820648	-0.059685197	-0.009801623
SYNAGAD_188	0.520478337	2.07E-08	-0.261801032	-2.214415718	-1.838984223	-0.32909639	-0.348714081	-0.35573773
SYNAGAD_189	-0.104300056	-5.57E-08	4.807538059	1.407668826	-2.212069239	-0.157010525	-0.286675136	-0.139692259
SYNAGAD_190	-1.103945484	-7.96E-09	1.765934605	3.017484179	1.518780917	0.207025036	-0.091486372	0.038058052
SYNAGAD_191	0.582956175	-2.13E-08	1.259000696	-1.007054204	-1.838984223	0.198867638	-0.020046174	0.125223442
SYNAGAD_192	0.1456113	-8.92E-09	1.765934605	2.212576503	0.772610886	0.676272471	0.520034541	0.672728486
SYNAGAD_193	-1.808092446	-3.57E-08	-0.768734941	-5.031592586	-4.077494317	-0.152547972	0.026107605	-0.145941912
SYNAGAD_194	-0.416689253	-2.32E-08	2.779802423	0.60276115	-1.465899208	0.206183443	-0.149659479	0.155020483
SYNAGAD_195	-1.853679555	5.51E-08	2.272868514	-3.824231071	-5.196749363	-0.211678729	-0.137520726	-0.159511488
SYNAGAD_196	0.20808914	-1.27E-08	-3.810338395	-5.434046424	-2.212069239	-0.095574103	-0.312317666	-0.156773043
SYNAGAD_197	-0.791556288	-1.27E-08	-3.303404486	0.16988017	0.755877983	-0.062350872	-0.052229738	-0.046076276
SYNAGAD_198	2.457291351	-4.33E-08	4.807538059	4.627299532	0.772610886	0.375017569	0.210237446	0.245465638
SYNAGAD_199	1.02030105	-1.30E-07	6.328339786	7.042022562	1.891865932	0.95406128	0.59653361	0.933906887
SYNAGAD_200	2.019946479	-6.72E-08	4.807538059	6.237114885	2.264950948	1.254640935	1.271066651	1.286018113
SYNAGAD_201	0.145611301	-5.56E-08	4.807538059	6.639568724	2.638035963	0.884456687	0.627577722	0.83173674
SYNAGAD_202	2.144902156	-2.90E-08	9.87687715	8.674834049	0.665209105	0.893102305	0.548428846	0.94390394
SYNAGAD_203	-0.104300056	-4.14E-08	3.286736332	4.224845694	1.518780917	0.723504896	1.000916948	0.795810803
SYNAGAD_204	3.207025424	-1.45E-07	3.793670241	6.237114885	3.011120979	0.83779358	0.763239345	0.76263655
SYNAGAD_205	0.895345372	-7.67E-08	6.835273695	8.210025557	2.369497296	1.143010601	1.051793854	1.170022781
SYNAGAD_206	-2.665891466	4.45E-09	-5.331140122	-8.921979689	-4.32621766	-0.701898341	-0.753937605	-0.877713106
SYNAGAD_207	1.83251296	-8.05E-08	0.752066787	3.419938017	2.638035963	0.435649754	0.331989146	0.407731422
SYNAGAD_208	-2.103590912	-2.71E-08	-2.796470577	-10.53179504	-7.6839828	-0.18573796	-0.136105288	-0.207590114
SYNAGAD_209	-0.104300056	6.18E-08	0.245132877	-1.81196188	-1.838984223	0.07718649	0.226306333	0.128893328
SYNAGAD_210	2.582247032	-9.87E-09	3.286736332	6.237114885	3.384205995	0.325737746	0.155201365	0.262353624
